drug,author,herb_part,bot_name,disease_category,taste,potency,ultimate_taste,inherent_action
Shaya legyam ,Agathiyar,,Solanum surattense,Tuberculosis ,Pungent ,Hot,Spicy ,"Kollaiyagatri,Siruneerperuki,Agatuvaiyagatri,perungalichalundaki"
Shaya legyam ,Agathiyar, jaggery ,Borassus flabellifer,Tuberculosis ,"Astringent, sweet",Cold ,Sweet,"thuvarpi,aanmaiperuki"
Shaya legyam ,Agathiyar,,Alpinia galanga,Tuberculosis ,Pungent,Hot,Spicy ,"Kollaiyakatri,Vepagatri,Pasitheethundi"
Shaya legyam ,Agathiyar,Dried rhizome ,Zingiber officinale,Tuberculosis ,Pungent,Hot,Spicy ,"Agatuvaiyagatri,Pasitheethuntri,Umilneerperuki,Seripundaki,Vepamundaki,Thadipundaki"
Shaya legyam ,Agathiyar,,Piper nigrum,Tuberculosis ,"Bitter, Pungent ",Hot,Spicy ,"karalundaki,agatuvaiagatri,muraiveppagatri,thadipuundaki,veppamundaki,veekankaraichi,vathamadaiki,nachheri"
Shaya legyam ,Agathiyar,,Piper longum,Tuberculosis ,sweet,Cold ,Sweet,null
Shaya legyam ,Agathiyar,,Terminalia chebula,Tuberculosis ,Astringent,Hot,Sweet,null
Shaya legyam ,Agathiyar,,Phyllanthus emblica,Tuberculosis ,"Sour, Astringent, sweet",Cold ,Sweet,null
Shaya legyam ,Agathiyar,,Terminalia bellirica ,Tuberculosis ,Astringent,Hot,Sweet,"Thuvarpi,kolaiagatri,malamilaki,uramaki"
Shaya legyam ,Agathiyar,,Saccharum officinarum,Tuberculosis ,Sweet,Cold ,Sweet,"Ulalalatri,Alugalatri,Kulirchiyundaki,Sirukalichalundaki,Siruneerperuki,Udaluramaki"
Shaya legyam ,Agathiyar,,Acorus calamus,Tuberculosis ,Pungent,Hot,Spicy ,"veppamundaki,pasithithundi,muraiveppagatri,agatuvaiagatri,kumattalelupi,vanthiundaki,thotrupuluvagatri,nutpulukkolli"
Shaya legyam ,Agathiyar,,Oryza sativa,Tuberculosis ,sweet,Cold ,Sweet,null
Vengala sendooram ,Agathiyar,Fruit ,Citrus limon,Diabetes,Sour,Hot,Spicy ,Kulirchiyundaki
Karuvanga sendooram ,Agathiyar,,Hibiscus rosa sinensis ,Diabetes,sweet,Cold ,Sweet,"Malamilaki,Anmaiperuki,Rudhuundaki,Varatchiyagatri,Ullalatri,Kulirchiyundaki"
Karuvanga sendooram ,Agathiyar,,Piper betle,Diabetes,"viruvirupu, Pungent ",Hot,Spicy ,"veppamundaki,agatuvaiagatri,thuvarpi,kamamperuki,alukalagatri,veppagatri,pasithithundi,parperuki,umilneerperuki"
Karuvanga sendooram ,Agathiyar,,Terminalia arjuna,Diabetes,Astringent ,Cold ,Spicy ,null
Karuvanga sendooram ,Agathiyar,,Cassia auriculata ,Diabetes,Astringent,Cold ,Sweet,"Thuvarpi,Uramaki"
Kaandha sendooram ,Agathiyar,stem ,Aloe barbadensis,Diabetes,null,null,null,null
Kaandha sendooram ,Agathiyar,samoolam ,Eclipta prostrata,Diabetes,Bitter,Hot,Spicy ,"Pithannerperuki,Uramaki,Udalthetri,Vanthiyundaki,Neermalampoki,Veekamuruki,Eralthetri"
